object_category,pair_ix,split,FirstRoundCardIndex,Round1,Round2,Round3,Round4
baskets,44,train,Card6,round but goldish,"round, no handle and goldish",top row,no cover and no handles
baskets,44,train,Card7,cover,"round with cover, no handle, more gold","bottom row, second one from left","light caramel color, completely round with cover on it but no handle"
baskets,44,train,Card8,pointed bottom,real pointed triangle bottom,triangular bottom,triangular
baskets,44,train,Card9,round with a handle going up,round and it's got a handle going up,more round,"more rounder, handle, cover"
baskets,44,train,Card10,the one to the left that your eye was just on,"in second row, to the left of that","has cover and handle, deeper","round with cover and handle, taller"
baskets,30,train,Card1,"no lid, big, long",long with handle,long with handle,"long with handle, top"
baskets,30,train,Card2,looks like Easter basket,Easter basket looking,Easter basket,Easter basket
baskets,30,train,Card3,handle,"handle, has weaving that has holes","handle with no cover that the weaving is big, open",the one on the bottom
baskets,30,train,Card4,"doesn't have a handle, pretty big",middle row,"no handle, no cover",bottom row in the middle
baskets,30,train,Card5,top one on right,red ribbon,red ribbon,red ribbon
baskets,30,train,Card6,"no handle, tall, no cover",green band,green ribbon,green ribbon
baskets,30,train,Card7,the one that was below that one,"cup, wok looking thing","middle row, third one in","wider, cover, side handles"
baskets,30,train,Card8,"one with the handle that has a pointed bottom , heart shaped",pointed bottom with the handle,pointed bottom,pointed bottom
baskets,30,train,Card9,cover and a handle,"middle row, on the right",cover and a handle,other cover and a handle
baskets,30,train,Card10,other one,handle and a cover,"cover and a handle, taller","taller, with cover and handle"
baskets,39,train,Card1,"medium tan, longest lengthwise, long oval shape",long,big long oval with handle,long oval
baskets,39,train,Card2,"small, loop on basket is bigger, dark brown, little","Easter egg basket, no lid, hoop on top of it, dark brown","Easter egg basket, small, brown with a handle on top",Easter egg basket
baskets,39,train,Card3,"wicker weave type thing, big spaces between weaves, looks like it's twisted around in loop in top","loose weave with top that looks twisted around, small, brown, has hoop on top, then it's woven, and there is holes","big holes, loop on top of it, reddish",big loops with handle
baskets,39,train,Card4,"looks like bowl, darker tan","big wicker bowl, no handles","wicker bowl thing that doesn't have lid, no handle","fruit bowl, doesn't have lid"
baskets,39,train,Card5,"fruit bowl, red ribbon going around top of it, loose weave, open weave",red ribbon through it,red ribbon thingy,smaller bowl with red ribbon through it
baskets,39,train,Card6,"triangle shapes going around top, some green",green on top with triangles,bowl with triangles and green on back,"green in back and triangles, bowl"
baskets,39,train,Card7,"without handle, cover, round","cover, has little thing pointing up on top, red","thing with red thing sticking out of top, with lid","with lid, with red thing on top"
baskets,39,train,Card8,triangle shape on bottom,triangle,triangle,triangle
baskets,39,train,Card9,"round, cover, hook on it","tan, with cover and hook on the thing, handle","half the height of that one, lid and handle on top","half that size, looks pretty much the same but it's rounder"
baskets,39,train,Card10,"longer that previous, cover with hoop on it","picnic basket, tall, lid, hoop on top of it","big picnic type basket that's long with handle and lid, taller","tall, with lid and handle on top"
baskets,36,train,Card1,"really long, brown, in the center of it has handle, oldish woodish color, broken on one of those sides","the oldest of them all, really flat, a little broken on side",broken,broken
baskets,36,train,Card2,"curved, handle larger than body, little small holder that's reddish brownish, red weaves and brown weaves, green tint","a lot of red ribbons interweaved, large handle","red ribbons, a lot of them, interweaved with rest of body","green background around top, red ribbon interwoven, carry thing is little bit larger than body"
baskets,36,train,Card3,"most circular basket of them all, if you take out the middle it just looks like a big circle, X-weaves, on bottom a little bit black","big circle, lot of holes, pattern is X-like on top",completely circular,"pretty much circular, little X's in body"
baskets,36,train,Card4,"doesn't have handle, tip of it is thicker than rest of body, brownish color, weaves are in squares if you look at it directly","half circle, no handles, top tip of it is a little bit thicker than rest of body",tip which is a little bit thicker than rest of body,"tip that is a little bit larger than body, looks a little bit thicker"
baskets,36,train,Card5,"red ribbon interweaved with rest, little with no handles, a lot of holes","red ribbon around, interweaved","one red ribbon, interlaced",one red ribbon interweaved through it
baskets,36,train,Card6,"green background, green little triangles","green background, triangular form","green background, triangular formation","green background, triangular formations"
baskets,36,train,Card7,"lid, two handles to the side, and a little pokey thing in middle","two handles on side, lid, with a pokey thing in middle","two handles, lid, little pokey thing in middle","two handles, lid with a pokey thing in middle"
baskets,36,train,Card8,"looks like a purse, triangular in nature, heart, half circle for handle",heart-shaped,heart-shaped,heart-shaped
baskets,36,train,Card9,"lid, pretty big, lid's covering most of the carrying area, handle is half square or half rectangle, flattened down to ground","really flat down to ground, handle that's half rectangle, lid","half rectangle handle, lid, large diameter","really low to the ground, rectangular handle, half rectangle, large diameter, lid"
baskets,36,train,Card10,"lid, handle a little bit more larger radius than previous","looks like it can hold the most of them all, handle half square, one handle that's going from side to side, lid, highest of them all, between top and bottom it looks like it could hold a lot","highest one off the ground, lid, one handle that looks like a half square, from bottom to top of lid looks like largest one","high, with half square handle, interweaved lid"
baskets,14,train,Card1,"long, rectangular shaped, curved at edges","rectangular, big","rectangular, curved","rectangular, long"
baskets,14,train,Card2,"small, really tall handle","really big handle, really small",big handle,really big handle
baskets,14,train,Card3,"short handle, bigger spaces","handle, bigger spaces",big spaces,"handle, big spaces in between"
baskets,14,train,Card4,"really wide, no handles",really wide opening,big opening,"big, no handles"
baskets,14,train,Card5,"no handle, red","no lid, red","smaller, red",spaces with red
baskets,14,train,Card6,green,green on picture,green,green
baskets,14,train,Card7,"lid, bigger","flat, lid, big","flat, round, big, lid","big, circular, lid"
baskets,14,train,Card8,cone shaped at bottom,cone shaped,cone shaped,cone shaped
baskets,14,train,Card9,"lid, handle",rectangular shaped handle,"short, rectangular handle, lid, circular","round, short, lid"
baskets,14,train,Card10,"lid, taller, handle","tall with a handle, lid",tall with handle,"big, handle, tall"
baskets,40,train,Card1,"long, longest basket, resembles rectangle",long,basket on middle on top,big rectangular one
baskets,40,train,Card2,"go underneath third one, it's the third one in middle row",most left in middle row,middle basket in middle on right,next one on left
baskets,40,train,Card3,"on the very bottom, second from right",basket on top left,second from right in middle,the one that was next to it on left
baskets,40,train,Card4,most left one in middle,big,big circular bowl,the one that was next to it on left
baskets,40,train,Card5,second one on top row,very bottom in the right,top left one,little bowl
baskets,40,train,Card6,most white,the one that was next to it,the one by your hand,circular bowl
baskets,40,train,Card7,second in middle row,"at top, left one",with lid,with lid
baskets,40,train,Card8,left on top row,second from top,"triangular, long",triangular
baskets,40,train,Card9,the only one in middle row,top one,basket on bottom left,second top one from left
baskets,40,train,Card10,left one on bottom,most white,middle,very bottom right
baskets,22,test,Card1,"rectangular, light brown, oval shaped, very long in length, you can see bottom, circular sides","rectangular, handle in middle, you could see bottom","rectangular, handle in middle","handle in middle, very rectangular, bottom's showing"
baskets,22,test,Card2,"not triangle, really small, reddish things and green, handle, red strips through, loop is very big","not triangular red ribbon, has red and green in it as well","red ribbons, not triangular","red with handle, red ribbon"
baskets,22,test,Card3,"light brown, very small, can't see bottom, you can see other side, handle, about the same size, no cover, black at bottom, with little loops","black bottom, black ribbon going through, towards bottom looks striped, one handle, round","black ribbon, big loops",black ribbon in bottom
baskets,22,test,Card4,"circulish, you could see inside, but not bottom, very big, plain old dark brown, no handles, deep inside","very deep, round",deep,very deep
baskets,22,test,Card5,"small, red ribbon at top, no handles","red ribbon going through, no handle","red ribbon, no handle","red ribbon, no handle"
baskets,22,test,Card6,"triangular, green, designs inside, green triangles","green triangles, green through back, designs",green triangles,green triangles
baskets,22,test,Card7,"circulish, large, very small loops, two loops at end, like a kettle, like the thing to pull it up, cover, small thing to pick it up","kettle pick up thing, two handles on side, teeny little handles","two little handles on side, kettle thingy on top","two handles, thing on top"
baskets,22,test,Card8,"triangular, red and green, very stylish","triangular, red and green stripes, coming in like a half diamond","triangular, red, green, diamond things going into it","triangular, red and green"
baskets,22,test,Card9,"circulish, handle, squarish, cover, short","smal round, handle, cover","short, with cover","short, with cover, handle"
baskets,22,test,Card10,"rectangular, pointed in towards end, cover, handle, looks like last one only higher, very long, different from bottom","rectangular, bigger length, higher, cover","rectangular, handle, cover, tall","tall, with cover"
baskets,20,test,Card1,"very long, rectangular in shape, light tan, weaved, handle coming over top, right in the middle handle","rectangular large, very long, handle in middle","really long, rectangular, handle in middle",rectangle
baskets,20,test,Card2,"huge handle, very small, red and brown and green weaving, right in middle, can see right through handle, very tiny basket compared to the handle","very large handle, very small","small, with large handle","small, giant handle"
baskets,20,test,Card3,"large, with another handle, same color, but weave is very wide, a lot of spaces, black in bottom, you can see right through, large handle, but it's not really that large in proportion to the basket, very circular, the look of the whole thing","very round, very open weave, something black in bottom, or just shadow","rounded, very open weave, black in bottom","very open weave, black bottom"
baskets,20,test,Card4,"very tight weave, without handle, very large bowl, bottom looks like solid piece of bamboo, uniform tan, some spaces that look darker color, brown",very large,"very large bowl, tight weave","very large bowl, tight weave"
baskets,20,test,Card5,"small, wide weave, red weave through whole thing, red ribbon","red ribbon, striped",red ribbon running through,red ribbon
baskets,20,test,Card6,"tan bowl, looks like solid beading, some green on other side","bowl, green striping in back, in background",green background,green background
baskets,20,test,Card7,"two handles on sides, lid on top, handles come through lid, tan, little knob on lid itself","top, two handles sticking out, small","two handles, big lid","two handle, large lid"
baskets,20,test,Card8,triangular,triangular shaped,triangular,triangular
baskets,20,test,Card9,"squarish handle, round lid, looks similar to old style picnic baskets, circular","round, with round top, square handle","round, squared handle, lid","round, round lid, square handle"
baskets,20,test,Card10,"similar handle to previous, very rough looking round lid, it itself is more squared, almost a little rectangular, tapers towards bottom","tapered, looks almost like old, rough handbag, thin handle up at top, very rough looking lid","tapered, rough top, lid","tapered, rough lid"
baskets,26,train,Card1,long,big,"bucket, big","big, bucket"
baskets,26,train,Card2,"small, loop on top","red ribbons running through it, handle",the one that you just had,"right there on right, middle"
baskets,26,train,Card3,"short, fat",wicker type basket,reddish color,wicker
baskets,26,train,Card4,just a regular open basket,open basket,"big open brown basket, with no handles","big, brown"
baskets,26,train,Card5,open wicker basket almost with a red loop through it,ribbon through it,"red ribbon, but the one with no handle",ribbon running through it
baskets,26,train,Card6,yellow and green,golden and green,bottom left,yellow and green
baskets,26,train,Card7,has top on top of it,yellow with a top in middle,"yellow with top on it, big",yellow with top on it
baskets,26,train,Card8,shaped like a heart,heart shaped,shaped like a heart,heart
baskets,26,train,Card9,"circular, with a loop","top, has a hoop to lift it with",the one that you just had,"flat one that looks like that, fat"
baskets,26,train,Card10,"big, with hoop on right",handle on top and top on top of it,"big, with top, no handle","yellow, lid"
baskets,19,train,Card1,very wide,"really long, wide, with handle","really wide, handle","pretty wide, handle"
baskets,19,train,Card2,"a lot smaller than the first one, bottom part has some pink","small, with handle, pink coloring","pretty small, handle, pink coloring at bottom","small, handle, pink trimming at bottom"
baskets,19,train,Card3,"a little bit bigger than the second picture, back part of bottom half, you can see holes through weaving","small, with handle, back part of bottom half you can see holes through weaving","handle, you can see holes through back part","handle, the one where you can see holes in back"
baskets,19,train,Card4,"pretty big, doesn't have handle","no cover, no handle","no cover, no handle, pretty big","pretty big, no cover, no handle"
baskets,19,train,Card5,"smaller than the fourth one, no handles, some pink trimming on bottom part","no handle, no cover, pink trimming, at bottom","small, with pink, red trimming, with no handle","small, no handle, pink trimming"
baskets,19,train,Card6,"yellowish orange color, no handle","orange color, with green trimming on back",orangey color with green on back part,"orangey color, no handle, green in back"
baskets,19,train,Card7,"orangish, yellowish color, doesn't have a handle, looks more like a pot, lid","orangey yellow color, cover on top, with no handle","orangey type color, with cover","orangey color, with cover on top"
baskets,19,train,Card8,upside down triangle shape at bottom,"upside down, triangular shaped bottom",bottom part is upside down triangle,upside down triangle shape at bottom
baskets,19,train,Card9,"like number seven, but smaller, with a handle","orangey type color with cover, handle","handle, cover, a lot shorter than the second one","cover, handle, a lot shorter than the first one"
baskets,19,train,Card10,like the last one we just did but longer,"cover, handle","cover, handle, bottom part long","cover, handle, long bottom part"
baskets,27,train,Card1,second row all the way to the left,the one next to it to the right,the one below that,top one
baskets,27,train,Card2,"second row, first one on left",second row to the right,"top row, the only one left",second row all the way to the right
baskets,27,train,Card3,"second row, next one in",bottom row to the right,bottom row all the way to the right,hold that one up
baskets,27,train,Card4,second row all the way to the right,the one right next to that,top row on the right,bottom to the left
baskets,27,train,Card5,first row all the way to the left,top row all the way to the left,bottom row all the way to the right,top to the right
baskets,27,train,Card6,"bottom row, second one from the left",second row all the way to the left,right where you are looking,"open bowl, looks like the last one but doesn't have cover on it, longer"
baskets,27,train,Card7,"bottom row, second one from the right","bottom row, all the way to the right","second row, second one from right","long, shaped like those two but it has cover on it"
baskets,27,train,Card8,triangular shaped,top,triangular,triangular
baskets,27,train,Card9,"first row, the left one",second row all the way to the left,"cover, small, handle","second row, all the way to the left"
baskets,27,train,Card10,"bottom row, the right one","second row, all the way to the left","top row, all the way to the left","second row, all the way to the right"
baskets,23,test,Card1,"oblong, rectangular, one handle, laundry basket","number one from before, looks like laundry basket","laundry basket, one handle",laundry
baskets,23,test,Card2,"smallest out of all of them, handle, looks like it's cut in half, reddish color, reddish brown, little red ribbons interwoven","long handle, red interwoven","oval handle, cut in half, red interwoven",more than one red ribbon weaved through
baskets,23,test,Card3,"bigger weave than all the other baskets, circle, visible holes","huge spaces in middle, circle, handle","with gaps, circle, no top, really big weave, biggest holes of all the weaves, circular handle","circular, big gaps in weave"
baskets,23,test,Card4,"tightest woven, no handle, looks like beehive","really tight weave, looks like beehive, no top","beehive, no top, half a circle","beehive, no handles, no cover"
baskets,23,test,Card5,"small thing, red interwoven, no handles","one red ribbon laced through, no handle","red strip interwoven, no handle","one red ribbon interlaced, no handle"
baskets,23,test,Card6,"no handle, zig-zag pattern in space, green","zig-zag pattern, green in background, looks like bowl","zig-zag pattern, green in background","zig-zag pattern, green"
baskets,23,test,Card7,"two handles, top covering it, orangish color","with top, looks like bowl, two handles on side","cover, looks like basket you take snake out of",looks like a snake could come out of it
baskets,23,test,Card8,triangular,triangular,triangular,triangle
baskets,23,test,Card9,handle looks like half a square,"sqaurish handle almost, with cover","square handle, with cover, wide, weave like little rectangles, like a barrel, when you cut a section out of it, top looks like x's, forming a circle, from side view looks like rectangles laying on top of each other, more in the brown color, stripes, on the edge of the top, circular things, like you wrap cord around edge, looks like they just laid rectangles, Jenga blocks","the one we were having trouble with last time, side looks like Jenga blocks put together, looks like number four, except more squarish, looks flat, ""cut an inch off a soda can, put a top on it and a handle and you have that"", half of it is square the handle, top is circular"
baskets,23,test,Card10,"bottom looks like half a hexagon, handle like number nine","number ten from before, hexagon bottom","bottom is hexagon, cover","hexagon bottom, cover, handle"
baskets,37,test,Card1,"long, not circular, rectangle, you can see bottom of it, handle, makes a cone, lid","long, bar handle, no lid","long, handle, no lid",long open with bar handle
baskets,37,test,Card2,"little, with big handle, small, big loop","small, with big handle, big loop",little with big loop,little with big loop
baskets,37,test,Card3,"medium, handle, wicker's thick on it, light brown, big holes","wickers have big holes, wicker's real thick braided, handle","thick braid wicker with holes, bar handle","thick braided with holes, handle"
baskets,37,test,Card4,"round, no lid, no holes in wicker, wide","big round, with no lid, no handles","big round with no lid, no handles","big round with no lid, no handles"
baskets,37,test,Card5,"no handle, holes in wicker, red loop","round, with no lid, red ribbon going through",red loop going through,red ribbon going through
baskets,37,test,Card6,"some weird design in middle of it, two little handles, with no lid","circular, with no lid, weird design almost near top, doesn't have handle, brown and round","big, with no lid, two little handles, weird little design runnin' through it, zigzag","round, zigzag design going through it, little handles, little green background behind design"
baskets,37,test,Card7,"lid, closed, no holes in wicker, little handle on top, round, two little handles","round, with lid, handles, with little thing on top of it","lid, little thing at top","round, with funny thing on top of lid"
baskets,37,test,Card8,v-shaped with handle,v-shaped,v-shaped,v-shaped
baskets,37,test,Card9,"lid, handle, short, one big handle going over top",nine looks just like five but a smaller version,smaller,smaller
baskets,37,test,Card10,"bigger, lid, handle, on big loop over it","lid, bar handle, round, tall compared to other one that it looks like, bigger",bigger,bigger
baskets,25,train,Card1,"slight bird's eye view, looking into it, little chip on bottom right side of it, longer lengthwise, looks like somebody bit it or something, more or less golden, handle straight in middle, handles are up down","chip on bottom right, handle up down","wide, chip on bottom right, handle up down","handle up and down, widest"
baskets,25,train,Card2,"very small, with reddish and gold, handles going from left to right","handle left to right, small, reddish pattern on top of it","red pattern, cross stitching","red patches, red pattern"
